106,Партизанск,Приморский край,36 586,36 992,37 059,37 291,37 470,37 689,37 778,38 218,38 356,38 700,38 659
107,Ирбит,Свердловская область,36 528,36 668,37 280,37 443,37 444,37 681,37 859,37 857,38 025,38 400,38 357
108,Ахтубинск,Астраханская область,36 517,36 955,37 560,37 883,38 160,38 507,38 906,39 386,40 633,41 900,41 853
109,Конаково,Тверская область,36 460,37 545,38 486,39 345,39 889,40 617,41 434,41 205,41 310,41 300,41 291
110,Сокол,Вологодская область,36 433,36 668,36 924,37 191,37 391,37 562,37 723,37 898,38 062,38 500,37 233
111,Тосно,Ленинградская область,36 296,36 791,37 509,37 875,38 289,39 077,39 320,39 209,38 857,39 100,39 101
112,Кыштым,Челябинская область,36 243,36 414,36 997,37 480,37 809,38 008,38 463,38 604,38 732,38 906,38 942
113,Фролово,Волгоградская область,36 235,36 513,36 951,37 377,37 757,38 129,38 585,38 836,39 129,39 400,39 449
114,Кинель,Самарская область,35 753,35 715,35 675,35 321,34 940,34 690,34 251,33 988,34 231,34 500,34 491
115,Коряжма,Архангельская область,35 714,36 224,36 742,37 092,37 256,37 587,38 006,38 570,39 117,39 572,39 641
116,Черняховск,Калининградская область,35 398,35 432,35 888,36 423,37 037,37 521,37 948,38 571,39 597,40 400,40 449
117,Мирный,Якутия,35 390,35 381,35 223,35 376,32 245,32 066,31 370,30 631,30 666,30 135,30 280
118,Протвино,Московская область,35 367,35 807,36 400,36 823,36 910,37 261,37 381,37 492,37 504,,37 308
119,Светлоград,Ставропольский край,35 356,35 745,36 358,36 935,37 515,37 819,38 099,38 323,38 559,38 496,38 520
120,Новокубанск,Краснодарский край,35 199,35 173,35 287,35 437,35 440,35 251,35 042,34 968,34 854,34 900,34 880
121,Лесозаводск,Приморский край,35 097,35 310,35 506,35 816,36 027,36 317,36 619,36 892,36 843,37 000,37 034
122,Благовещенск,Башкортостан,34 771,34 967,35 008,34 955,35 037,35 013,34 883,34 844,34 605,34 200,34 239
123,Луга,Ленинградская область,34 619,35 000,35 262,35 785,36 148,36 496,36 774,37 332,37 777,38 600,38 593
124,Каменка,Пензенская область,34 577,35 151,35 929,36 566,37 002,37 530,37 847,38 429,39 110,39 484,39 577
125,Вязники,Владимирская область,34 521,35 028,35 865,36 635,37 197,37 866,38 661,39 401,40 277,41 040,41 248
126,Миллерово,Ростовская область,34 464,35 208,35 384,35 540,35 600,35 873,36 141,36 388,36 409,36 500,36 499
127,Ефремов,Тульская область,34 439,34 734,35 168,35 505,36 181,36 773,37 608,38 964,40 714,42 200,42 350
128,Гулькевичи,Краснодарский край,34 272,34 215,34 236,34 360,34 289,34 347,34 479,34 645,34 933,35 200,35 244
129,Азнакаево,Татарстан,34 197,34 587,34 896,34 863,34 700,34 720,34 747,34 564,34 594,34 811,34 853
130,Валуйки,Белгородская область,34 159,34 193,34 118,34 679,34 104,34 296,34 437,34 627,34 924,35 300,35 322
131,Зеленокумск,Ставропольский край,34 113,34 690,35 501,35 646,35 568,35 639,35 625,35 772,35 802,35 817,35 839
132,Дальнегорск,Приморский край,34 096,34 454,34 694,35 034,35 405,35 556,35 976,36 351,36 817,37 500,37 519
133,Корсаков,Сахалинская область,34 023,33 645,33 203,33 213,33 056,32 962,32 860,33 148,33 322,33 451,33 526
134,Коркино,Челябинская область,34 014,34 166,34 672,34 967,35 186,35 516,36 219,37 333,38 033,38 499,38 597
135,Гай,Оренбургская область,33 819,34 205,34 752,35 255,35 648,36 092,36 523,36 996,37 572,38 300,38 301
136,Богородск,Нижегородская область,33 756,33 931,34 240,34 388,34 597,34 676,35 018,35 063,35 286,35 439,35 499
137,Алатырь,Чувашия,33 752,34 179,34 785,35 298,35 591,36 123,36 610,37 042,37 518,38 200,38 203
138,Балтийск,Калининградская область,33 658,33 551,33 317,33 181,33 212,33 095,32 922,32 778,32 899,32 700,32 697
139,Нижнеудинск,Иркутская область,33 616,33 971,33 918,33 954,34 049,34 235,34 813,35 500,36 326,36 881,36 999
140,Истра,Московская область,33 558,33 535,34 309,34 790,34 764,34 995,35 139,34 789,34 966,35 100,35 111
141,Сухой Лог,Свердловская область,33 410,33 497,33 689,34 018,33 944,34 213,34 425,34 498,34 484,34 600,34 554
142,Вичуга,Ивановская область,33 292,33 794,34 394,34 868,35 281,35 792,36 100,36 537,36 897,37 600,37 583
143,Фурманов,Ивановская область,33 181,33 364,33 905,34 309,34 697,35 061,35 367,35 461,35 699,36 100,36 144
144,Тында,Амурская область,33 177,32 920,33 061,33 189,33 450,33 819,34 169,34 785,35 410,36 300,36 275
145,Чернушка,Пермский край,33 127,32 952,32 909,33 010,32 982,32 687,32 669,32 807,33 169,33 300,33 272
146,Мирный,Архангельская область,32 894,32 028,31 704,32 175,34 836,34 354,34 652,34 912,35 478,37 200,37 188
